timestamp_s,m1_c,m2_c,m3_c,m4_c,m5_c,m6_c,m7_c,m8_c,m9_c,m10_c,m11_c,m12_c
1777848296.2577,43,44,46,41,41,46,42,43,45,42,42,44
1777848296.4580,43,44,46,41,41,46,42,43,45,42,42,44
1777848296.6583,43,44,46,41,41,46,42,43,45,42,42,44
1777848296.8586,43,44,46,41,41,46,42,43,45,42,42,44
1777848297.0590,43,44,46,40,41,46,42,43,45,42,42,44
1777848297.2592,43,44,46,41,41,46,42,43,45,42,42,44
1777848297.4595,43,44,46,40,41,46,42,43,45,42,42,44
1777848297.6598,43,44,46,41,41,46,42,43,45,42,42,44
1777848297.8601,43,44,46,41,41,46,42,43,45,42,42,44
1777848298.0604,43,44,46,41,41,46,42,43,45,42,42,44
1777848298.2607,43,44,46,41,41,46,42,43,45,42,42,44
1777848298.4612,43,44,46,41,41,46,42,43,45,42,42,44
1777848298.6615,43,44,46,41,41,46,42,43,45,42,42,44
1777848298.8618,43,44,46,41,41,46,42,43,45,42,42,44
1777848299.0620,43,44,46,41,41,46,42,43,45,42,42,44
1777848299.2623,43,44,46,41,41,46,42,43,45,42,42,44
1777848299.4625,43,44,46,41,41,46,42,43,45,42,42,44
1777848299.6628,43,44,46,41,41,46,42,43,45,42,42,44
1777848299.8630,43,44,46,41,41,46,42,43,45,42,42,44
1777848300.0633,43,44,46,41,41,46,42,43,45,42,42,44
1777848300.2636,43,44,46,41,41,46,42,43,45,42,42,44
